scenario,p,severity,log_return,S_T,pnl_$
Aggressive tariffs / restrictions,0.2,2,-0.1492459490340376,344.8788374862199,2923.0
No new measures,0.45,0,0.1450152465736503,462.8737576588245,-577.0
Mild tariffs / tighter language,0.3,1,0.0839592833837416,435.4580179861994,-577.0
No new measures,0.45,0,-0.1436330457161778,346.8200518853339,2923.0
No new measures,0.45,0,0.1864118648420787,482.4373045268034,-577.0
No new measures,0.45,0,0.0311806734025846,413.0711202340687,-577.0
Mild tariffs / tighter language,0.3,1,0.1567232486264748,468.3249334833291,-577.0
Mild tariffs / tighter language,0.3,1,0.1369636960181796,459.161869478574,-577.0
Aggressive tariffs / restrictions,0.2,2,0.3181202184574445,550.3526899399825,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.1339144485002971,350.2070882379555,2902.2911762044523
Mild tariffs / tighter language,0.3,1,-0.009043768225479,396.78530480532254,-577.0
Aggressive + retaliation,0.05,3,-0.2967921180389894,297.56925584520366,2923.0
No new measures,0.45,0,0.1282239648637059,455.1664032652921,-577.0
No new measures,0.45,0,-0.2385676656029872,315.4093891428505,2922.9999999999995
No new measures,0.45,0,0.0887667564305707,437.5565108529815,-577.0
Mild tariffs / tighter language,0.3,1,0.1795312552797171,479.1292356124292,-577.0
Mild tariffs / tighter language,0.3,1,-0.0322696334139256,387.6758201372131,-577.0
Mild tariffs / tighter language,0.3,1,0.4098485551624358,603.2234330610503,-577.0
Aggressive tariffs / restrictions,0.2,2,0.2198439558054598,498.83883343536326,-577.0
No new measures,0.45,0,0.0367806299374736,415.39078951479934,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0396609861687388,384.8209351245199,-559.0935124519906
Mild tariffs / tighter language,0.3,1,0.1732149303134504,476.1124372287691,-577.0
Mild tariffs / tighter language,0.3,1,-0.2251794599948442,319.6605490978048,2923.0
No new measures,0.45,0,0.0209656512107508,408.8730676784211,-577.0
No new measures,0.45,0,0.034118592701916,414.2864742820767,-577.0
No new measures,0.45,0,-0.0193832309035975,392.70389411186034,-577.0
Aggressive tariffs / restrictions,0.2,2,0.2162965512393186,497.0723852854092,-577.0
Mild tariffs / tighter language,0.3,1,-0.0281385436273894,389.28065633715545,-577.0
No new measures,0.45,0,-0.1070989904975067,359.7250962417904,1950.4903758209575
Aggressive tariffs / restrictions,0.2,2,0.1218493315042307,452.274112766914,-577.0
Mild tariffs / tighter language,0.3,1,-0.0628145008916891,376.013334853881,321.66651461189804
Aggressive tariffs / restrictions,0.2,2,0.2313454647867441,504.6093539928471,-577.0
Mild tariffs / tighter language,0.3,1,0.3080028182294327,544.8126242974985,-577.0
