scenario,p,severity,log_return,S_T
No new measures,0.45,0,0.08677583205169824,436.6862355420213
No new measures,0.45,0,0.2552629457317456,516.8238260385119
No new measures,0.45,0,-0.1478683215441989,345.3542794691839
No new measures,0.45,0,-0.015315758672852767,394.3044592164346
Mild tariffs / tighter language,0.3,1,-0.12047158778812597,354.94665866412555
Aggressive tariffs / restrictions,0.2,2,-0.5310455287467003,235.42527981379772
Mild tariffs / tighter language,0.3,1,0.02942856541102297,412.3480086929672
Aggressive tariffs / restrictions,0.2,2,-0.20268856236435456,326.93145994905416
Aggressive + retaliation,0.05,3,0.4678277296731875,639.2316053290932
No new measures,0.45,0,-0.031899326100240384,387.8194059125394
Mild tariffs / tighter language,0.3,1,0.2580950436100164,518.2895963224129
No new measures,0.45,0,0.0951262556088363,440.34801800980665
Aggressive tariffs / restrictions,0.2,2,-0.0976249154466747,363.1493540260062
Mild tariffs / tighter language,0.3,1,0.10584923499764869,445.0952675730599
No new measures,0.45,0,-0.14127293215833628,347.63955326968926
No new measures,0.45,0,0.09009189877423317,438.13671985811436
Mild tariffs / tighter language,0.3,1,0.09456742414860993,440.102006429802
No new measures,0.45,0,-0.16315446424429692,340.1152886658149
No new measures,0.45,0,0.099743491779919,442.3859099000389
Aggressive tariffs / restrictions,0.2,2,-0.15409390167633502,343.21092745586566
No new measures,0.45,0,0.14858792656754743,464.530415063759
Mild tariffs / tighter language,0.3,1,0.2239384170590954,500.8854968433922
Mild tariffs / tighter language,0.3,1,-0.018636579308120866,392.9972165921708
No new measures,0.45,0,-0.12583076726402578,353.04952389942144
No new measures,0.45,0,-0.03405937773859501,386.9826000666971
No new measures,0.45,0,0.15282803846538373,466.504257703173
Aggressive + retaliation,0.05,3,0.18725930585250328,482.84631496525003
Mild tariffs / tighter language,0.3,1,0.05134372662640378,421.4844291815552
No new measures,0.45,0,0.17702561167397393,477.93021129800997
Aggressive tariffs / restrictions,0.2,2,-0.01669123699025877,393.7624748116747
No new measures,0.45,0,-0.16131935524667834,340.7400103331305
No new measures,0.45,0,0.055193550669882206,423.1101975240185
No new measures,0.45,0,0.0884349152060519,437.411335653514
Aggressive tariffs / restrictions,0.2,2,-0.03475787188252739,386.71238936802837
No new measures,0.45,0,0.008889990410178086,403.96534682629465
Mild tariffs / tighter language,0.3,1,-0.026713041702566286,389.83597237006126
No new measures,0.45,0,0.18232921887654546,480.47169897786154
Aggressive tariffs / restrictions,0.2,2,-0.2987351752805165,296.99162311624264
Aggressive tariffs / restrictions,0.2,2,0.09586226191437333,440.6722362263826
No new measures,0.45,0,-0.055632322927897916,378.723650876905
No new measures,0.45,0,-0.03978739433214083,384.772293691274
Mild tariffs / tighter language,0.3,1,0.11786518068817214,450.4757693060619
No new measures,0.45,0,-0.06910035293873881,373.6571836302707
No new measures,0.45,0,0.03946683979663799,416.50811636433957
Mild tariffs / tighter language,0.3,1,-0.1997302246509007,327.90006564169386
Mild tariffs / tighter language,0.3,1,-0.1331221660980097,350.484661094648
Aggressive tariffs / restrictions,0.2,2,-0.05674050517044109,378.30418851546966
No new measures,0.45,0,-0.022233598329802207,391.5861374892504
No new measures,0.45,0,0.11467520882164567,449.04105384303443
Mild tariffs / tighter language,0.3,1,0.004950950433142971,402.3772410353332
Mild tariffs / tighter language,0.3,1,0.09049563343623498,438.31364655193306
No new measures,0.45,0,-0.031702816730507385,387.89562354806003
No new measures,0.45,0,-0.009894044139462576,396.44807120874367
No new measures,0.45,0,0.04034246540745207,416.8729812573501
Mild tariffs / tighter language,0.3,1,0.28556638293072106,532.7250788797279
Aggressive + retaliation,0.05,3,-0.7502273978069305,189.0878479202581
No new measures,0.45,0,-0.08329612825129847,368.39030238710586
