scenario,p,severity,log_return,S_T
Aggressive tariffs / restrictions,0.2,2,0.01194466805838214,405.2012173739651
Mild tariffs / tighter language,0.3,1,0.28615434765519854,533.0383945342038
Aggressive tariffs / restrictions,0.2,2,0.25412032995402617,516.233632227171
Aggressive tariffs / restrictions,0.2,2,-0.23883207399381717,315.32600327826157
No new measures,0.45,0,0.009247152024888218,404.10965351072423
No new measures,0.45,0,-0.06506153021965064,375.16937042428015
Mild tariffs / tighter language,0.3,1,-0.015596413568753235,394.1938112671508
Aggressive tariffs / restrictions,0.2,2,0.0052068314554344205,402.4802149090844
Aggressive tariffs / restrictions,0.2,2,-0.17417733528952692,336.3868286172237
No new measures,0.45,0,0.15205412655103331,466.14336416795743
Mild tariffs / tighter language,0.3,1,0.12898457914161654,455.51274102846725
Mild tariffs / tighter language,0.3,1,0.03528850319298405,414.77143600023425
No new measures,0.45,0,-0.008027252712800033,397.18884829221884
Mild tariffs / tighter language,0.3,1,0.17343541625460687,476.2174249013153
Aggressive + retaliation,0.05,3,-0.12639669645408994,352.84977939426267
Mild tariffs / tighter language,0.3,1,0.028024206866613957,411.76933067450585
No new measures,0.45,0,0.17380302334297693,476.3925179830716
Mild tariffs / tighter language,0.3,1,0.028417025817704892,411.9311132446222
No new measures,0.45,0,-0.024242288365550695,390.8003517809095
Mild tariffs / tighter language,0.3,1,0.02724621041733647,411.44910018256496
Aggressive tariffs / restrictions,0.2,2,-0.016935788490004957,393.6661913815242
Mild tariffs / tighter language,0.3,1,0.0017862636814374097,401.1058559403264
Aggressive tariffs / restrictions,0.2,2,0.09107406792749616,438.5672556241353
Mild tariffs / tighter language,0.3,1,0.04267655320704795,417.84713583577894
No new measures,0.45,0,0.0854031400625678,436.08721107683255
Mild tariffs / tighter language,0.3,1,-0.064647429262268,375.3247605911414
Mild tariffs / tighter language,0.3,1,0.09860284500514199,441.8815915179523
No new measures,0.45,0,-0.09566867203596258,363.8604578762584
No new measures,0.45,0,0.04100064922346959,417.1474506226873
